"id_hari";"hari";"buka";"tutup"
"1";"Senin";"08:00:00";"09:00:00"
"2";"Selasa";"08:00:00";"09:00:00"
"3";"Rabu";"08:00:00";"09:00:00"
"4";"Kamis";"08:00:00";"09:00:00"
"5";"Jumat";"08:00:00";"09:00:00"
"6";"Sabtu";"10:00:00";"09:00:00"
"7";"Minggu";"10:00:00";"09:00:00"
"id_model";"nama_model";"foto_model";"deskripsi"
"1";"Comma Hair";"comma.jpg";"Comma Hair merupakan gaya rambut andalan pria Korea."
"5";"Side Part";"trump.jpg";"Dikesampingkan seperti keadilan"
"id_pegawai";"nama_pegawai";"no_hp";"email";"pass";"pp"
"P-1";"Bagas";"081227868290";"bagas@gmail.com";"bagas123";"sedenter.png"
"P-2";"Kim Jong Kun";"088975646";"jongun@gmail.com";"nowayhome";"kimjongun.jpg"
"P-3";"Putin";"123234";"putien@gmail.com";"blablabla";"putin.jpeg"
"id_cabang";"nama_cabang";"no_hp";"alamat"
"1";"Semarang";"123234345";"Semarang"
"2";"Bandung";"234345456";"Bandung"
"3";"Yogyakarta";"89098";"Yogyakarta"
"id_kategori";"kategori";"harga"
"1";"Dewasa";"90000"
"2";"Anak";"70000"
"id_transaksi";"tanggal_transaksi";"id_kategori";"id_cabang"
"23";"2022-01-07";"2";"3"
"25";"2022-01-07";"1";"1"
"28";"2022-01-07";"1";"3"
"30";"2022-01-07";"2";"1"
"31";"2022-01-08";"1";"1"
"32";"2022-01-14";"1";"2"
"33";"2022-01-14";"1";"2"
"34";"2022-01-07";"2";"2"
